12 - safira,jardim romano,12 - safira,itaim paulista,"2,50"
12 - safira,itaim paulista,12 - safira,jardim helena - vila mara,"2,50"
12 - safira,jardim helena - vila mara,12 - safira,são miguel paulista,"2,50"
12 - safira,são miguel paulista,12 - safira,comendador ermelino,"2,50"
12 - safira,comendador ermelino,12 - safira,usp leste,"2,50"
12 - safira,usp leste,12 - safira,eng. goulart,"2,50"
12 - safira,eng. goulart,12 - safira,tatuapé,"2,50"
12 - safira,eng. goulart,13 - jade,eng. goulart,"4,50"
12 - safira,tatuapé,12 - safira,brás,"2,50"
13 - jade,aeroporto - guarulhos,13 - jade,eng. goulart,"18,00"
15 - prata,jardim colonial,15 - prata,vila prudente,"28,00"
